shape,width_mm,depth_mm,height_mm,standoff_mm,total_depth_mm,length_mm,shadow_x_mm,shadow_y_mm,source_height_mm,declared_cut_mm,blur_mm,visible_artwork_percent,score
Cylinder,80,80,60,0,60,450,0,0,54,0.7313,1.1224,88.47,0.08293694690265488
Rectangle,80,80,60,0,60,450,0,0,54,0.715,1.1224,88.47,0.08293694690265488
Cylinder,100,100,30,0,30,300,0,0,24,0.6158,0.498,82.79,0.08278761061946904
Rectangle,80,100,36,30,66,600,0,0,60,0.5999,1.5632,81.31,0.08264576803403285
Cylinder,80,80,60,20,80,600,0,0,74,0.7516,1.5632,87.98,0.08248064159292036
Rectangle,80,80,60,20,80,600,0,0,74,0.7339,1.5632,87.98,0.08248064159292036
Cylinder,80,80,22,20,42,450,0,0,36,0.4875,1.1224,61.56,0.08245101137800254
Rectangle,60,80,30,30,60,450,0,0,54,0.5268,1.5947,75.96,0.0822277070333676
Rectangle,100,80,44,10,54,450,0,0,48,0.6385,1.1224,87.55,0.0815714080287534
Cylinder,100,100,44,30,74,600,-150.0,0,68,0.4163,1.8209,100.0,0.08108108108108109
Cylinder,60,60,30,20,50,300,0,0,44,0.6586,0.9965,80.94,0.08094395280235989
Cylinder,100,100,60,30,90,800,0,0,84,0.8083,1.6612,91.06,0.08094395280235989
Cylinder,100,100,30,30,60,600,0,0,54,0.6928,1.1959,80.5,0.0805014749262537
Cylinder,80,80,60,10,70,450,-112.5,0,64,0.4135,1.7145,100.0,0.08035714285714286
Cylinder,100,100,36,20,56,450,-112.5,0,50,0.4081,1.3157,100.0,0.08035714285714286
Rectangle,80,80,60,10,70,450,-112.5,0,64,0.4073,1.7145,100.0,0.08035714285714286
Rectangle,60,80,26,30,56,450,0,0,50,0.4894,1.5947,69.17,0.08023188890148976
Rectangle,80,60,36,10,46,300,0,0,40,0.5824,0.9965,84.47,0.07951339437401371
Rectangle,100,80,36,0,36,300,0,0,30,0.5999,0.6816,85.13,0.07931775052930669
Rectangle,60,80,60,10,70,450,0,0,64,0.6189,1.5947,85.37,0.07921231095297614
Rectangle,80,60,60,10,70,450,0,0,64,0.6189,1.5947,85.37,0.07921231095297614
Rectangle,80,100,44,30,74,600,0,0,68,0.6769,1.5632,87.11,0.07896566297006553
Rectangle,60,80,36,30,66,450,0,0,60,0.5824,1.5947,80.06,0.07878764232605814
Rectangle,80,60,30,30,60,450,0,0,54,0.5268,1.5947,72.68,0.07868313403115253
