shape,width_mm,depth_mm,height_mm,standoff_mm,total_depth_mm,length_mm,shadow_x_mm,shadow_y_mm,source_height_mm,declared_cut_mm,blur_mm,visible_artwork_percent,score
Rectangle,80,100,36,30,66,300,0,0,60,0.5644,0.5896,13.72,0.006974666291300238
Cylinder,80,80,60,30,90,300,0,0,84,0.851,0.5896,16.19,0.006746972090573987
Rectangle,80,80,60,30,90,300,0,0,84,0.7425,0.5896,16.19,0.006746972090573987
Rectangle,80,80,30,30,60,300,0,0,54,0.5147,0.5896,10.35,0.006467219589257504
Rectangle,80,100,60,30,90,300,0,0,84,0.7425,0.5896,16.19,0.006034675294726921
Rectangle,100,80,60,30,90,300,0,0,84,0.7425,0.5896,16.19,0.006034675294726921
Rectangle,100,80,30,30,60,300,0,0,54,0.5147,0.5896,9.95,0.0055636762473336
Cylinder,100,100,60,30,90,300,0,0,84,1.0749,0.4251,16.19,0.005397577672459189
Cylinder,100,100,36,30,66,300,0,0,60,0.7678,0.4251,11.57,0.005259945425822203
Cylinder,80,80,26,30,56,300,0,0,50,0.5065,0.5896,5.67,0.003795171800947867
Cylinder,100,100,26,20,46,300,0,0,40,0.5119,0.4251,5.67,0.0036961673191840097
Rectangle,80,80,26,30,56,300,0,0,50,0.4805,0.5896,3.69,0.0024728122884224778
Rectangle,100,80,26,30,56,300,0,0,50,0.4805,0.5896,3.69,0.0022117505490037905
Cylinder,100,100,30,30,60,300,0,0,54,0.691,0.4251,2.09,0.001046603475513428
Rectangle,80,100,30,30,60,300,0,0,54,0.5147,0.5896,1.46,0.0008168889728227905
Cylinder,80,80,22,30,52,300,0,0,46,0.466,0.5896,0.0,0.0
Cylinder,100,100,22,20,42,300,0,0,36,0.4607,0.4251,0.0,0.0
Cylinder,100,100,22,30,52,300,0,0,46,0.5886,0.4251,0.0,0.0
Cylinder,100,100,26,30,56,300,0,0,50,0.6398,0.4251,0.0,0.0
Rectangle,80,80,22,30,52,300,0,0,46,0.4455,0.5896,0.0,0.0
Rectangle,80,100,22,30,52,300,0,0,46,0.4455,0.5896,0.0,0.0
Rectangle,80,100,26,30,56,300,0,0,50,0.4805,0.5896,0.0,0.0
Rectangle,100,80,22,30,52,300,0,0,46,0.4455,0.5896,0.0,0.0
